,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
45,AAPL240621P00200000,2024-06-21 19:58:20+00:00,200.0,0.01,0.0,0.01,-0.02,-66.66667,7025.0,41857,0.29688203124999996,False,REGULAR,USD
46,AAPL240621P00202500,2024-06-21 19:58:32+00:00,202.5,0.01,0.0,0.01,-0.049999997,-83.333336,14758.0,24434,0.21094539062499998,False,REGULAR,USD
47,AAPL240621P00205000,2024-06-21 19:59:33+00:00,205.0,0.01,0.0,0.01,-0.16,-94.117645,31166.0,38481,0.1132901171875,False,REGULAR,USD
48,AAPL240621P00207500,2024-06-21 19:59:59+00:00,207.5,0.33,0.28,0.48,-0.16999999,-33.999996,96054.0,24941,0.10962804443359375,True,REGULAR,USD
49,AAPL240621P00210000,2024-06-21 19:59:59+00:00,210.0,2.77,2.03,3.0,1.3299999,92.36111,150502.0,35779,0.3217841259765625,True,REGULAR,USD
50,AAPL240621P00212500,2024-06-21 19:59:35+00:00,212.5,5.3,4.55,6.75,2.1800003,69.87181,17033.0,13907,0.5336960693359375,True,REGULAR,USD
51,AAPL240621P00215000,2024-06-21 19:59:58+00:00,215.0,7.3,6.5,9.0,1.7400002,31.29497,6341.0,18768,0.5097705273437501,True,REGULAR,USD
52,AAPL240621P00217500,2024-06-21 19:56:13+00:00,217.5,9.4,8.3,11.55,1.4499998,18.238993,510.0,1421,1.1367230664062502,True,REGULAR,USD
53,AAPL240621P00220000,2024-06-21 19:41:00+00:00,220.0,10.0,11.55,14.05,-0.35000038,-3.3816462,208.0,1868,0.7753928710937501,True,REGULAR,USD
54,AAPL240621P00222500,2024-06-21 19:46:00+00:00,222.5,13.81,13.0,16.5,0.9100008,7.05427,77.0,84,1.419924775390625,True,REGULAR,USD
55,AAPL240621P00225000,2024-06-21 19:49:08+00:00,225.0,17.51,15.5,18.8,2.1599998,14.07166,331.0,513,1.4853541357421873,True,REGULAR,USD
